system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;28;818;index;0.0012224939;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\FileZilla;29;1055;index;0.0009478673;0.0035266817
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;1;499;index;0.002004008;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;2;2411;index;0.0004147657;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;3;739;index;0.00135318;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;4;1845;index;0.0005420054;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;5;1549;index;0.0006455778;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;6;3381;index;0.0002957705;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;7;3411;index;0.0002931692;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;8;511;index;0.0019569472;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;9;3400;index;0.0002941176;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;10;2429;index;0.0004116921;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;11;1371;index;0.0007293946;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;12;1303;index;0.0007674597;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;13;656;index;0.0015243902;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;14;411;index;0.00243309;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;15;3033;index;0.0003297066;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;16;1549;index;0.0006455778;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\ATunes;17;2721;index;0.0003675119;0.000882845
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;1;6587;index;0.0001518142;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;2;1036;index;0.000965251;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;3;20547;index;4.86689054363167E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;4;21535;index;0.000046436;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;5;12320;index;8.11688311688312E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;6;2735;index;0.0003656307;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;7;3708;index;0.0002696872;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;8;19700;index;5.07614213197969E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;9;1465;index;0.0006825939;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;10;26786;index;3.73329351153588E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;11;9340;index;0.0001070664;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;12;13391;index;0.000074677;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;13;22752;index;4.39521800281294E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;14;15994;index;6.25234462923596E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;15;16032;index;6.2375249500998E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;16;6978;index;0.0001433075;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Adempiere;17;11252;index;8.88730892285816E-005;0.0001930659
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;1;9451;index;0.0001058089;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;2;21504;index;0.000046503;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;3;9257;index;0.0001080264;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;4;13145;index;7.60745530620008E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;5;6866;index;0.0001456452;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;6;12768;index;7.83208020050125E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;7;9242;index;0.0001082017;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;8;1694;index;0.0005903188;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;9;10747;index;9.30492230389876E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;10;39947;index;2.50331689488572E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;11;32432;index;3.0833744449926E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;12;4551;index;0.0002197319;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;13;130;index;0.0076923077;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;14;1962;index;0.000509684;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;15;92;index;0.0108695652;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;16;301;index;0.0033222591;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;17;312;index;0.0032051282;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;18;302;index;0.0033112583;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;19;3764;index;0.0002656748;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;20;13075;index;7.64818355640535E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;21;14350;index;6.96864111498258E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;22;1976;index;0.0005060729;
