system;query;lda;selected-ir;R-Rank;M-R-Rank
OpenJPA;80;2867;lda;0.0003487967;
OpenJPA;81;726;lda;0.0013774105;
OpenJPA;82;3;lda;0.3333333333;
OpenJPA;83;30;lda;0.0333333333;
OpenJPA;84;40;lda;0.025;
OpenJPA;85;1472;lda;0.0006793478;
OpenJPA;86;47;lda;0.0212765957;
OpenJPA;87;1804;lda;0.0005543237;
OpenJPA;88;2147483647;lda;4.6566128752458E-010;
OpenJPA;89;3035;lda;0.0003294893;
OpenJPA;90;2147483647;lda;4.6566128752458E-010;
OpenJPA;91;2147483647;lda;4.6566128752458E-010;
OpenJPA;92;12229;lda;8.17728350641917E-005;
OpenJPA;93;2147483647;lda;4.6566128752458E-010;
OpenJPA;94;651;lda;0.0015360983;
OpenJPA;95;354;lda;0.0028248588;
OpenJPA;96;123;lda;0.0081300813;
OpenJPA;97;2147483647;lda;4.6566128752458E-010;
OpenJPA;98;23596;lda;4.23800644176979E-005;
OpenJPA;99;2147483647;lda;4.6566128752458E-010;0.0062132295
FileZilla;1;412;lda;0.0024271845;
FileZilla;2;156;lda;0.0064102564;
FileZilla;3;95;lda;0.0105263158;
FileZilla;4;57;lda;0.0175438596;
FileZilla;5;321;lda;0.0031152648;
FileZilla;6;3;lda;0.3333333333;
FileZilla;7;317;lda;0.0031545741;
FileZilla;8;23;lda;0.0434782609;
FileZilla;9;2147483647;lda;4.6566128752458E-010;
FileZilla;10;322;lda;0.0031055901;
FileZilla;11;177;lda;0.0056497175;
FileZilla;12;200;lda;0.005;
FileZilla;13;2147483647;lda;4.6566128752458E-010;
FileZilla;14;461;lda;0.0021691974;
FileZilla;15;995;lda;0.0010050251;
FileZilla;16;208;lda;0.0048076923;
FileZilla;17;2147483647;lda;4.6566128752458E-010;
FileZilla;18;280;lda;0.0035714286;
FileZilla;19;5;lda;0.2;
FileZilla;20;101;lda;0.0099009901;
FileZilla;21;8;lda;0.125;
FileZilla;22;179;lda;0.0055865922;
FileZilla;23;207;lda;0.0048309179;
FileZilla;24;30;lda;0.0333333333;
FileZilla;25;501;lda;0.001996008;
FileZilla;26;15;lda;0.0666666667;
FileZilla;27;519;lda;0.0019267823;
FileZilla;28;242;lda;0.0041322314;
FileZilla;29;127;lda;0.0078740157;0.0312601807
Derby;1;5173;lda;0.0001933114;
Derby;2;15865;lda;6.30318310746927E-005;
Derby;3;4125;lda;0.0002424242;
Derby;4;4542;lda;0.0002201673;
Derby;5;2719;lda;0.0003677823;
Derby;6;4205;lda;0.0002378121;
Derby;7;2147483647;lda;4.6566128752458E-010;
Derby;8;9298;lda;0.00010755;
Derby;9;2147483647;lda;4.6566128752458E-010;
Derby;10;2147483647;lda;4.6566128752458E-010;
Derby;11;5925;lda;0.0001687764;
Derby;12;1163;lda;0.0008598452;
Derby;13;376;lda;0.0026595745;
Derby;14;1064;lda;0.0009398496;
