system;query;lda;selected-ir;R-rank;M-R-rank
Derby;7;2147483647;lda;4.6566128752458E-010;
Derby;8;15775;lda;6.3391442155309E-005;
Derby;9;2147483647;lda;4.6566128752458E-010;
Derby;10;2147483647;lda;4.6566128752458E-010;
Derby;11;6699;lda;0.000149276;
Derby;12;1464;lda;0.0006830601;
Derby;13;451;lda;0.0022172949;
Derby;14;1664;lda;0.0006009615;
Derby;15;246;lda;0.0040650407;
Derby;16;858;lda;0.0011655012;
Derby;17;1145;lda;0.0008733624;
Derby;18;833;lda;0.0012004802;
Derby;19;94;lda;0.0106382979;
Derby;20;2740;lda;0.0003649635;
Derby;21;7181;lda;0.0001392564;
Derby;22;2147483647;lda;4.6566128752458E-010;
Derby;23;8694;lda;0.0001150219;
Derby;24;2147483647;lda;4.6566128752458E-010;
Derby;25;9652;lda;0.0001036055;
Derby;26;1984;lda;0.0005040323;
Derby;27;7368;lda;0.000135722;
Derby;28;30;lda;0.0333333333;
Derby;29;22181;lda;4.50836301338984E-005;
Derby;30;323;lda;0.0030959752;
Derby;31;3154;lda;0.0003170577;
Derby;32;2987;lda;0.0003347841;
Derby;33;1296;lda;0.0007716049;
Derby;34;595;lda;0.0016806723;
Derby;35;3442;lda;0.0002905288;
Derby;36;969;lda;0.0010319917;
Derby;37;6628;lda;0.0001508751;
Derby;38;9090;lda;0.000110011;
Derby;39;1457;lda;0.0006863418;
Derby;40;1435;lda;0.0006968641;
Derby;41;77;lda;0.012987013;
Derby;42;333;lda;0.003003003;
Derby;43;20296;lda;4.92707922743398E-005;
Derby;44;30817;lda;3.24496219619041E-005;
Derby;45;4631;lda;0.0002159361;
Derby;46;2138;lda;0.0004677268;
Derby;47;1899;lda;0.0005265929;
Derby;48;1038;lda;0.0009633911;
Derby;49;351;lda;0.0028490028;
Derby;50;548;lda;0.0018248175;
Derby;51;9038;lda;0.0001106439;
Derby;52;2147483647;lda;4.6566128752458E-010;
Derby;53;1394;lda;0.0007173601;
Derby;54;643;lda;0.00155521;
Derby;55;126;lda;0.0079365079;
Derby;56;77;lda;0.012987013;
Derby;57;131;lda;0.0076335878;
Derby;58;2147483647;lda;4.6566128752458E-010;
Derby;59;20919;lda;4.78034322864382E-005;
Derby;60;2147483647;lda;4.6566128752458E-010;
Derby;61;147;lda;0.0068027211;
Derby;62;279;lda;0.0035842294;
Derby;63;292;lda;0.0034246575;
Derby;64;945;lda;0.0010582011;
Derby;65;1169;lda;0.000855432;
